unit,scenario_id,type,sensor,param,dir,timing_p,tau_s,T_u,n_after,delta_mean,delta_p50,delta_p95,delta_max,saturated,frac_gt_7.18,frac_gt_9.4,frac_gt_13.3,frac_gt_14.4
48,bias_T24_a0.5_neg_p0.6,bias,T24,0.5,neg,0.6,161,231,71,3.5236689439961606,2.7530250549316406,7.448125839233398,7.793327331542969,False,0.09859154929577464,0.0,0.0,0.0
48,bias_T24_a0.5_neg_p0.8,bias,T24,0.5,neg,0.8,196,231,36,2.05129783683353,2.326531410217285,3.0592284202575684,3.7611217498779297,False,0.0,0.0,0.0,0.0
48,bias_T24_a0.5_pos_p0.2,bias,T24,0.5,pos,0.2,90,231,142,5.067040238581913,4.310497283935547,13.244450378417966,17.663108825683594,True,0.2323943661971831,0.14084507042253522,0.04225352112676056,0.035211267605633804
48,bias_T24_a0.5_pos_p0.4,bias,T24,0.5,pos,0.4,125,231,107,4.440544444823933,3.8192367553710938,12.845793914794921,15.215156555175781,False,0.1588785046728972,0.11214953271028037,0.04672897196261682,0.018691588785046728
48,bias_T24_a0.5_pos_p0.6,bias,T24,0.5,pos,0.6,161,231,71,3.0212392874167,2.545196533203125,5.906946182250977,6.673492431640625,False,0.0,0.0,0.0,0.0
48,bias_T24_a0.5_pos_p0.8,bias,T24,0.5,pos,0.8,196,231,36,1.8419247600767348,2.101470947265625,3.057405471801758,3.3836097717285156,False,0.0,0.0,0.0,0.0
48,bias_T24_a0.75_neg_p0.2,bias,T24,0.75,neg,0.2,90,231,142,6.5279929234947955,6.009044647216797,14.800387573242187,21.139183044433594,True,0.39436619718309857,0.24647887323943662,0.08450704225352113,0.06338028169014084
48,bias_T24_a0.75_neg_p0.4,bias,T24,0.75,neg,0.4,125,231,107,6.253972173851227,6.050651550292969,14.968168640136698,20.7681884765625,False,0.40186915887850466,0.205607476635514,0.06542056074766354,0.056074766355140186
48,bias_T24_a0.75_neg_p0.6,bias,T24,0.75,neg,0.6,161,231,71,5.521790309691093,4.130764007568359,11.918210983276367,12.99692153930664,False,0.38028169014084506,0.2676056338028169,0.0,0.0
48,bias_T24_a0.75_neg_p0.8,bias,T24,0.75,neg,0.8,196,231,36,3.1614329947365656,3.532109260559082,4.798920154571533,5.668806076049805,False,0.0,0.0,0.0,0.0
48,bias_T24_a0.75_pos_p0.2,bias,T24,0.75,pos,0.2,90,231,142,7.585710260230051,6.420722961425781,19.677627944946284,22.547286987304688,True,0.44366197183098594,0.28169014084507044,0.1619718309859155,0.14084507042253522
48,bias_T24_a0.75_pos_p0.4,bias,T24,0.75,pos,0.4,125,231,107,6.859515506530476,5.924842834472656,20.31382522583007,23.771568298339844,False,0.3644859813084112,0.2616822429906542,0.12149532710280374,0.12149532710280374
