unit,scenario_id,type,sensor,param,timing_p,tau_s,T_u,t_exit,pos_in_life,yhat_clean_at_exit,delta_at_exit,delta_min_after20,degraded_len_before,reentry_within_20,reentry_gap,is_final_exit,pattern
1,noise_T24_b3.0_na_p0.2,noise,T24,3.0,0.2,82,192,178,0.9270833333333334,9.706527709960938,1.1218090057373047,0.19693756103515625,88,False,,True,B
1,noise_T24_b3.0_na_p0.4,noise,T24,3.0,0.4,110,192,163,0.8489583333333334,27.417173385620117,0.7914390563964844,0.22146987915039062,33,False,,True,C
1,noise_T24_b3.0_na_p0.6,noise,T24,3.0,0.6,137,192,164,0.8541666666666666,25.868576049804688,4.063911437988281,0.016183853149414062,25,False,,True,C
1,noise_T30_b2.0_na_p0.4,noise,T30,2.0,0.4,110,192,132,0.6875,57.993797302246094,4.6926727294921875,0.23766326904296875,19,False,,True,C
1,noise_T30_b3.0_na_p0.2,noise,T30,3.0,0.2,82,192,120,0.625,96.71150207519531,2.2310714721679688,0.6859359741210938,7,False,,True,A
1,noise_T50_b2.0_na_p0.2,noise,T50,2.0,0.2,82,192,140,0.7291666666666666,59.442726135253906,0.5056800842285156,0.010356903076171875,35,False,,True,C
1,noise_T50_b2.0_na_p0.4,noise,T50,2.0,0.4,110,192,160,0.8333333333333334,33.904727935791016,4.579122543334961,0.11078453063964844,37,False,,True,C
1,noise_T50_b3.0_na_p0.2,noise,T50,3.0,0.2,82,192,160,0.8333333333333334,33.904727935791016,2.714923858642578,0.1548633575439453,70,False,,True,C
1,noise_T50_b3.0_na_p0.4,noise,T50,3.0,0.4,110,192,177,0.921875,12.686454772949219,3.6317901611328125,0.14751529693603516,63,False,,True,B
1,noise_T50_b3.0_na_p0.6,noise,T50,3.0,0.6,137,192,183,0.953125,8.801010131835938,4.664675235748291,0.9186539649963379,40,False,,True,B
1,stuck_T50_na_na_p0.2,stuck,T50,,0.2,82,192,162,0.84375,33.020320892333984,4.1187744140625,0.393829345703125,63,False,,True,C
1,stuck_T50_na_na_p0.4,stuck,T50,,0.4,110,192,176,0.9166666666666666,12.297952651977539,1.1211223602294922,0.2906932830810547,60,False,,True,B
1,stuck_T50_na_na_p0.6,stuck,T50,,0.6,137,192,173,0.9010416666666666,16.082231521606445,2.660432815551758,0.3144721984863281,18,False,,True,B
9,bias_T24_a0.5_neg_p0.2,bias,T24,0.5,0.2,84,201,166,0.8258706467661692,42.83949661254883,4.6863555908203125,0.9300804138183594,44,False,,True,C
9,bias_T24_a0.5_neg_p0.4,bias,T24,0.5,0.4,113,201,166,0.8258706467661692,42.83949661254883,4.6863555908203125,0.9300804138183594,44,False,,True,C
9,bias_T24_a0.75_neg_p0.2,bias,T24,0.75,0.2,84,201,167,0.8308457711442786,41.77626419067383,4.106986999511719,1.1251335144042969,49,False,,True,C
9,bias_T24_a0.75_neg_p0.4,bias,T24,0.75,0.4,113,201,167,0.8308457711442786,41.77626419067383,4.106986999511719,1.1251335144042969,46,False,,True,C
9,bias_T24_a0.75_neg_p0.6,bias,T24,0.75,0.6,143,201,174,0.8656716417910447,25.924720764160156,4.376594543457031,0.7862701416015625,23,False,,True,C
9,bias_T24_a0.75_pos_p0.2,bias,T24,0.75,0.2,84,201,164,0.8159203980099502,44.8278694152832,4.109809875488281,1.4998931884765625,63,False,,True,C
9,bias_T24_a0.75_pos_p0.4,bias,T24,0.75,0.4,113,201,164,0.8159203980099502,44.8278694152832,4.109809875488281,1.4998931884765625,40,False,,True,C
9,bias_T24_a0.75_pos_p0.6,bias,T24,0.75,0.6,143,201,170,0.845771144278607,34.86748123168945,4.267913818359375,0.9794511795043945,19,False,,True,C
9,bias_T24_a1.0_neg_p0.2,bias,T24,1.0,0.2,84,201,172,0.8557213930348259,21.70381736755371,4.020959854125977,1.272665023803711,57,False,,True,C
9,bias_T24_a1.0_neg_p0.4,bias,T24,1.0,0.4,113,201,172,0.8557213930348259,21.70381736755371,4.020959854125977,1.272665023803711,54,False,,True,C
9,bias_T24_a1.0_neg_p0.6,bias,T24,1.0,0.6,143,201,181,0.900497512437811,15.382980346679688,4.0558319091796875,0.12155675888061523,31,False,,True,B
9,bias_T24_a1.0_pos_p0.2,bias,T24,1.0,0.2,84,201,167,0.8308457711442786,41.77626419067383,4.4500579833984375,1.4504618644714355,71,False,,True,C
9,bias_T24_a1.0_pos_p0.4,bias,T24,1.0,0.4,113,201,167,0.8308457711442786,41.77626419067383,4.4500579833984375,1.4504618644714355,49,False,,True,C
9,bias_T24_a1.0_pos_p0.6,bias,T24,1.0,0.6,143,201,178,0.8855721393034826,22.184452056884766,4.458217620849609,0.5519309043884277,31,False,,True,C
9,bias_T50_a0.3_neg_p0.2,bias,T50,0.3,0.2,84,201,143,0.7114427860696517,74.71311950683594,4.149467468261719,2.0700225830078125,25,False,,True,C
9,bias_T50_a0.3_neg_p0.4,bias,T50,0.3,0.4,113,201,158,0.7860696517412935,60.56068420410156,2.6651268005371094,0.017932891845703125,35,False,,True,C
9,bias_T50_a0.3_pos_p0.2,bias,T50,0.3,0.2,84,201,134,0.6666666666666666,79.31224060058594,4.046142578125,1.9064559936523438,19,False,,True,C
